service, type, link, generated, timeSinceGenerated, lastRecordTimeStamp, firstRecordTimeStamp, Collection Time Window in Minutes, totalRecords, rank1, rank2, rank3, rank4, rank5, rank6, rank7, rank8, rank9, rank10
ukrainian,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/ukrainian,2024-05-02T09:27:57.584Z,18,2024-05-02T09:27:00Z,2024-05-01T09:25:00Z,1442,20,40,36,24,21,21,17,15,11,9,8
urdu,read,https://onward-journeys.api.bbci.co.uk/api/most/read/urdu,2024-05-02T09:27:35.871Z,19,2024-05-02T09:25:00Z,2024-05-02T09:10:00Z,15,20,1217,857,746,609,461,358,161,94,70,69
urdu,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/urdu,2024-05-02T09:27:57.228Z,18,2024-05-02T09:25:00Z,2024-05-02T07:25:00Z,120,20,121,72,56,39,38,33,31,26,23,18
uzbek,read,https://onward-journeys.api.bbci.co.uk/api/most/read/uzbek,2024-05-02T09:29:03.409Z,17,2024-05-02T09:26:00Z,2024-05-02T07:26:00Z,120,20,137,33,26,24,22,19,18,18,14,12
uzbek,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/uzbek,2024-05-02T09:29:31.999Z,17,2024-05-02T09:29:00Z,2024-04-29T01:26:00Z,4803,20,186,40,35,28,25,20,12,9,7,7
vietnamese,read,https://onward-journeys.api.bbci.co.uk/api/most/read/vietnamese,2024-05-02T09:30:08.66Z,16,2024-05-02T09:28:00Z,2024-05-02T04:28:00Z,300,20,10434,10268,2256,2035,1804,1527,1468,1444,1079,895
vietnamese,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/vietnamese,2024-05-02T09:30:27.721Z,16,2024-05-02T09:30:00Z,2024-04-30T17:28:00Z,2402,20,255,63,36,29,22,17,15,15,11,7
yoruba,read,https://onward-journeys.api.bbci.co.uk/api/most/read/yoruba,2024-05-02T09:30:11.745Z,16,2024-05-02T09:28:00Z,2024-05-02T07:28:00Z,120,20,134,90,73,39,35,25,24,24,22,17
yoruba,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/yoruba,2024-05-02T09:30:34.532Z,16,2024-05-02T09:30:00Z,2024-04-28T05:28:00Z,6002,20,115,66,31,28,28,22,19,17,15,13
zhongwenSimp,read,https://onward-journeys.api.bbci.co.uk/api/most/read/zhongwen_simp,2024-05-02T09:30:28.173Z,16,2024-05-02T09:28:00Z,2024-05-02T07:28:00Z,120,20,573,347,163,150,146,100,66,65,64,63
zhongwenSimp,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/zhongwen_simp,2024-05-02T09:30:42.48Z,16,2024-05-02T09:28:00Z,2024-05-02T05:28:00Z,240,20,444,443,170,88,56,30,25,25,22,18
zhongwenTrad,read,https://onward-journeys.api.bbci.co.uk/api/most/read/zhongwen_trad,2024-05-02T09:30:30.537Z,16,2024-05-02T09:28:00Z,2024-05-02T04:28:00Z,300,20,619,475,335,164,150,144,110,79,79,68
zhongwenTrad,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/zhongwen_trad,2024-05-02T09:30:55.342Z,16,2024-05-02T09:30:00Z,2024-05-01T13:28:00Z,1202,20,944,152,131,121,112,110,83,71,54,37
