Dependency,Type,Most Recent Version,Most Recent Version Date,Our Version,Our Version Date,Our Version Freshness in Days
react-router-dom,commonjs,6.16.0,Wed Sep 13 2023 17:37:49 GMT+0100 (British Summer Time),5.3.4,Sun Oct 02 2022 18:10:36 GMT+0100 (British Summer Time),358
polyfill-crypto.getrandomvalues,commonjs,1.0.0,Fri Jun 24 2022 07:55:43 GMT+0100 (British Summer Time),1.0.0,Sat Mar 05 2016 00:40:06 GMT+0000 (Greenwich Mean Time),2761
@babel/plugin-proposal-object-rest-spread,commonjs,7.21.4-esm.4,Fri Sep 01 2023 19:56:01 GMT+0100 (British Summer Time),7.20.7,Thu Dec 22 2022 09:45:28 GMT+0000 (Greenwich Mean Time),277
react-router,commonjs,6.16.0,Wed Sep 13 2023 17:37:49 GMT+0100 (British Summer Time),5.3.4,Sun Oct 02 2022 18:10:33 GMT+0100 (British Summer Time),358
uuid,commonjs,9.0.1,Tue Sep 12 2023 09:56:35 GMT+0100 (British Summer Time),8.3.2,Tue Dec 08 2020 20:38:36 GMT+0000 (Greenwich Mean Time),1021
winston,commonjs,3.10.0,Sun Aug 27 2023 12:38:45 GMT+0100 (British Summer Time),Unkonwn,Invalid Date,NaN
react-helmet,commonjs,6.1.0,Sun Sep 25 2022 23:10:24 GMT+0100 (British Summer Time),6.1.0,Mon Jun 08 2020 05:59:07 GMT+0100 (British Summer Time),1205
@babel/core,commonjs,8.0.0-alpha.2,Mon Sep 25 2023 09:11:54 GMT+0100 (British Summer Time),7.22.17,Fri Sep 08 2023 14:53:33 GMT+0100 (British Summer Time),17
@babel/plugin-transform-runtime,commonjs,8.0.0-alpha.2,Mon Sep 04 2023 13:25:20 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:20 GMT+0100 (British Summer Time),21
@babel/eslint-parser,commonjs,8.0.0-alpha.2,Mon Sep 04 2023 13:25:02 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:02 GMT+0100 (British Summer Time),21
react-lazyload,commonjs,3.2.0,Sun Jun 26 2022 01:57:43 GMT+0100 (British Summer Time),3.2.0,Thu Feb 11 2021 12:23:58 GMT+0000 (Greenwich Mean Time),956
@babel/preset-env,commonjs,8.0.0-alpha.2,Sat Sep 16 2023 17:28:44 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:28 GMT+0100 (British Summer Time),21
url-parse,commonjs,1.5.10,Tue Jun 28 2022 07:17:22 GMT+0100 (British Summer Time),1.5.10,Tue Feb 22 2022 15:49:03 GMT+0000 (Greenwich Mean Time),580
xmldoc,commonjs,1.3.0,Mon Mar 20 2023 21:39:03 GMT+0000 (Greenwich Mean Time),1.3.0,Mon Mar 20 2023 21:39:03 GMT+0000 (Greenwich Mean Time),189
@babel/runtime,commonjs,8.0.0-alpha.2,Mon Sep 25 2023 09:30:41 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:07 GMT+0100 (British Summer Time),21
@cypress/webpack-preprocessor,commonjs,6.0.0,Tue Aug 29 2023 16:11:34 GMT+0100 (British Summer Time),5.17.1,Mon May 01 2023 14:43:28 GMT+0100 (British Summer Time),147
react-router-config,commonjs,5.1.1,Sun Jun 26 2022 08:58:35 GMT+0100 (British Summer Time),5.1.1,Sat Sep 28 2019 00:06:35 GMT+0100 (British Summer Time),1459
@babel/preset-react,commonjs,8.0.0-alpha.2,Mon Sep 04 2023 13:25:25 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:25 GMT+0100 (British Summer Time),21
@babel/plugin-proposal-export-default-from,commonjs,8.0.0-alpha.2,Fri Sep 08 2023 14:53:29 GMT+0100 (British Summer Time),7.22.17,Fri Sep 08 2023 14:53:29 GMT+0100 (British Summer Time),17
@babel/plugin-proposal-throw-expressions,commonjs,8.0.0-alpha.2,Wed Aug 09 2023 16:15:08 GMT+0100 (British Summer Time),7.22.5,Thu Jun 08 2023 19:21:30 GMT+0100 (British Summer Time),109
@babel/preset-typescript,commonjs,8.0.0-alpha.2,Mon Sep 25 2023 09:11:48 GMT+0100 (British Summer Time),7.22.15,Mon Sep 04 2023 13:25:28 GMT+0100 (British Summer Time),21
@babel/plugin-syntax-dynamic-import,error,7.8.3,Sun Jun 12 2022 16:01:00 GMT+0100 (British Summer Time),7.8.3,Mon Jan 13 2020 21:12:33 GMT+0000 (Greenwich Mean Time),1351
@storybook/addon-a11y,commonjs,7.5.0-alpha.3,Sun Sep 24 2023 20:34:25 GMT+0100 (British Summer Time),6.5.16,Thu Jan 26 2023 11:32:26 GMT+0000 (Greenwich Mean Time),242
@emotion/babel-plugin,commonjs,11.11.0,Sat Jul 22 2023 20:33:06 GMT+0100 (British Summer Time),11.11.0,Sat May 06 2023 09:49:11 GMT+0100 (British Summer Time),142
